Run Time,Name,Status,Summary,m_omit,m_omit
"10:44 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8137MB virtual memory free, 0 pages/sec","",
"10:45 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8136MB virtual memory free, 0 pages/sec","",
"10:45 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8137MB virtual memory free, 0 pages/sec","",
"10:46 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8138MB virtual memory free, 0 pages/sec","",
"10:46 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8138MB virtual memory free, 0 pages/sec","",
"10:47 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8137MB virtual memory free, 0 pages/sec","",
"10:47 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8138MB virtual memory free, 0 pages/sec","",
"10:48 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8116MB virtual memory free, 0 pages/sec","",
"10:48 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8116MB virtual memory free, 0.29998 pages/sec","",
"10:49 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8114MB virtual memory free, 0.26666 pages/sec","",
"10:49 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8128MB virtual memory free, 0 pages/sec","",
"10:50 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8135MB virtual memory free, 0 pages/sec","",
"10:50 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8135MB virtual memory free, 0 pages/sec","",
"10:51 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8135MB virtual memory free, 0 pages/sec","",
"10:51 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8135MB virtual memory free, 0 pages/sec","",
"10:52 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8135MB virtual memory free, 0 pages/sec","",
"10:52 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8135MB virtual memory free, 0.03333 pages/sec","",
"10:53 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8134MB virtual memory free, 0 pages/sec","",
"10:53 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8135MB virtual memory free, 0 pages/sec","",
"10:54 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8136MB virtual memory free, 0 pages/sec","",
"10:54 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8135MB virtual memory free, 0 pages/sec","",
"10:55 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8133MB virtual memory free, 0.26665 pages/sec","",
"10:55 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8134MB virtual memory free, 0 pages/sec","",
"10:56 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8133MB virtual memory free, 0 pages/sec","",
"10:56 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8133MB virtual memory free, 0.79992 pages/sec","",
"10:57 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8130MB virtual memory free, 0 pages/sec","",
"10:57 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8127MB virtual memory free, 0 pages/sec","",
"10:58 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8128MB virtual memory free, 0.03333 pages/sec","",
"10:58 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8120MB virtual memory free, 0.4333 pages/sec","",
"10:59 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8118MB virtual memory free, 0.89999 pages/sec","",
"10:59 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8119MB virtual memory free, 0 pages/sec","",
"11:00 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8119MB virtual memory free, 0.69997 pages/sec","",
"11:00 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8120MB virtual memory free, 0 pages/sec","",
"11:01 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8120MB virtual memory free, 0 pages/sec","",
"11:01 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8119MB virtual memory free, 0.03334 pages/sec","",
"11:02 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8121MB virtual memory free, 0 pages/sec","",
"11:02 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8120MB virtual memory free, 0 pages/sec","",
"11:03 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8096MB virtual memory free, 0 pages/sec","",
"11:03 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8096MB virtual memory free, 0.26664 pages/sec","",
"11:04 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8106MB virtual memory free, 0.03333 pages/sec","",
"11:04 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8106MB virtual memory free, 0.53328 pages/sec","",
"11:05 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8118MB virtual memory free, 0 pages/sec","",
"11:05 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8118MB virtual memory free, 0 pages/sec","",
"11:06 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8118MB virtual memory free, 0 pages/sec","",
