Run Time,Name,Status,Summary,m_omit,m_omit
"10:53 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 1%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:53 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","1% avg, cpu1 1%, cpu2 1%, cpu3 0%, cpu4 3%","",
"10:54 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:54 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 1%, cpu4 1%","",
"10:55 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","2% avg, cpu1 2%, cpu2 2%, cpu3 3%, cpu4 2%","",
"10:55 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 1%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:56 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:56 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"10:57 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","4% avg, cpu1 4%, cpu2 3%, cpu3 5%, cpu4 5%","",
"10:57 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:58 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:58 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 1%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:59 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 1%, cpu4 0%","",
"10:59 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","1% avg, cpu1 0%, cpu2 2%, cpu3 0%, cpu4 2%","",
"11:00 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","4% avg, cpu1 2%, cpu2 9%, cpu3 3%, cpu4 4%","",
"11:00 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 2%, cpu3 0%, cpu4 1%","",
"11:01 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","5% avg, cpu1 1%, cpu2 3%, cpu3 10%, cpu4 9%","",
"11:01 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","3% avg, cpu1 0%, cpu2 7%, cpu3 7%, cpu4 1%","",
"11:02 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"11:02 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"11:03 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"11:03 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","3% avg, cpu1 3%, cpu2 3%, cpu3 0%, cpu4 8%","",
"11:04 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"11:04 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 2%, cpu3 0%, cpu4 0%","",
"11:05 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"11:05 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","3% avg, cpu1 6%, cpu2 0%, cpu3 7%, cpu4 1%","",
"11:06 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"11:06 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"11:07 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"11:07 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","4% avg, cpu1 4%, cpu2 2%, cpu3 7%, cpu4 6%","",
"11:08 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 2%, cpu2 0%, cpu3 0%, cpu4 0%","",
"11:08 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","1% avg, cpu1 1%, cpu2 2%, cpu3 1%, cpu4 1%","",
"11:09 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"11:09 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","4% avg, cpu1 1%, cpu2 7%, cpu3 9%, cpu4 0%","",
"11:10 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","3% avg, cpu1 4%, cpu2 4%, cpu3 3%, cpu4 2%","",
"11:10 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","11% avg, cpu1 3%, cpu2 2%, cpu3 11%, cpu4 28%","",
"11:11 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","25% avg, cpu1 7%, cpu2 10%, cpu3 45%, cpu4 41%","",
"11:11 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","3% avg, cpu1 1%, cpu2 3%, cpu3 7%, cpu4 3%","",
"11:12 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"11:12 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"11:13 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","7% avg, cpu1 3%, cpu2 2%, cpu3 2%, cpu4 22%","",
"11:13 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","1% avg, cpu1 0%, cpu2 5%, cpu3 1%, cpu4 0%","",
"11:14 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","2% avg, cpu1 3%, cpu2 2%, cpu3 0%, cpu4 5%","",
"11:14 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"11:15 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","2% avg, cpu1 2%, cpu2 2%, cpu3 3%, cpu4 2%","",
"11:15 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"11:16 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","2% avg, cpu1 0%, cpu2 3%, cpu3 4%, cpu4 2%","",
"11:16 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","4% avg, cpu1 2%, cpu2 10%, cpu3 1%, cpu4 3%","",
"11:17 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","2% avg, cpu1 0%, cpu2 1%, cpu3 5%, cpu4 3%","",
"11:17 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"11:18 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","1% avg, cpu1 1%, cpu2 1%, cpu3 0%, cpu4 2%","",
"11:18 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"11:19 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","2% avg, cpu1 2%, cpu2 2%, cpu3 2%, cpu4 4%","",
"11:19 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 1%, cpu2 1%, cpu3 1%, cpu4 0%","",
"11:20 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","2% avg, cpu1 1%, cpu2 3%, cpu3 2%, cpu4 2%","",
